Player_Name,Team_Initials,Matches_Played,Goals_Scored,Yellow_Cards,Red_Cards,Goals_Per_Match
AMOR,ESP,3,0,1,0,0.0
AN Ik Soo,KOR,3,0,0,0,0.0
AN Se Bok,PRK,4,0,0,0,0.0
ANDERANIK T.,IRN,3,0,1,0,0.0
ANDERSEN,DEN,3,0,0,0,0.0
ANDERSON,BRA,7,0,0,0,0.0
ANDERSSON,SWE,8,0,0,0,0.0
ANDRANIK,IRN,3,0,1,0,0.0
ANDRE,POR,3,0,0,0,0.0
ANDREWS,TRI,3,0,0,0,0.0
ANDRINUA,ESP,4,0,0,0,0.0
ANDR� MACANGA,ANG,3,0,4,1,0.0
ANDUJAR,ARG,12,0,0,0,0.0
ANELKA,FRA,3,0,0,0,0.0
ANGIBEAUD,CMR,3,0,1,0,0.0
ANGOUA,CIV,3,0,0,0,0.0
ANNAN,GHA,5,0,1,0,0.0
ANTONELIUS,SWE,4,0,0,0,0.0
ANTONIO SIMOES,POR,6,1,0,0,0.167
ANTONIO SOUSA,POR,3,0,0,0,0.0
ANTUNEZ,ESP,6,0,0,0,0.0
AOGO,GER,7,0,1,0,0.0
AOYAMA,JPN,3,0,0,0,0.0
AQUILANI,ITA,3,0,0,0,0.0
ARAKEN,BRA,2,0,0,0,0.0
ARANZABAL,ESP,3,0,0,0,0.0
ARBELOA,ESP,7,0,0,0,0.0
ARCE,PAR,4,0,2,0,0.0
ARENDSE,RSA,3,0,0,0,0.0
AREVALO RIOS,URU,7,0,1,0,0.0
ARGEMIRO,BRA,5,0,0,0,0.0
ARIAS,COL,5,0,0,0,0.0
ARIEL,BRA,1,0,0,0,0.0
ARIF ERDEM,TUR,7,0,0,0,0.0
ARISTIZABAL,COL,3,0,1,0,0.0
ARMANDINHO,BRA,1,0,0,0,0.0
ARROYO,ECU,3,0,0,0,0.0
ASAMOAH,GER,14,0,0,0,0.0
ASAMOAH,GHA,4,1,5,1,0.25
ASENCIO,ECU,3,0,0,0,0.0
ASPRILLA,COL,6,0,0,0,0.0
ASSEMOASSA,TOG,3,0,0,0,0.0
ASSOU EKOTTO,CMR,6,0,0,0,0.0
ATSOU,TOG,3,0,0,0,0.0
ATSU,GHA,3,0,0,0,0.0
ATTILA,BRA,1,0,0,0,0.0
AUGUSTO,BRA,6,0,0,0,0.0
AVDUKI?,BIH,3,0,0,0,0.0
AYALA,ARG,8,1,0,0,0.125
AYALA,PAR,8,1,1,0,0.125
AYARI,TUN,3,0,1,0,0.0
AYILA,NGA,3,0,1,0,0.0
AZEEZ,NGA,4,0,0,0,0.0
AZIAWONOU,TOG,3,0,1,0,0.0
AZIZ,KSA,3,0,0,0,0.0
AZOFEIFA R.,CRC,3,0,0,0,0.0
AZPILICUETA,ESP,3,0,0,0,0.0
AZZOUZI,MAR,3,0,1,0,0.0
Aaron LAWRENCE,JAM,3,0,0,0,0.0
Aaron PADILLA,MEX,7,0,0,0,0.0
Abdallah LAMRANI,MAR,3,0,0,0,0.0
Abdel Aziz SOULAYMANI,MAR,4,0,0,0,0.0
Abdel Kader BEN BOUALI,FRA,2,0,0,0,0.0
Abdel Rahman FAWZI,EGY,1,2,0,0,2.0
Abdel SHARLI,EGY,1,0,0,0,0.0
Abdelaziz BEN-TIFOUR,FRA,2,0,0,0,0.0
Abdelfettah HOUDANI,MAR,4,0,0,0,0.0
Abdelfettah RHIATI,MAR,4,0,0,0,0.0
Abdelhamid SADMI,ALG,3,0,0,0,0.0
Abdelilah SABER,MAR,3,0,0,0,0.0
Abdeljalil HADDA,MAR,3,2,1,0,0.667
Abdelkader EL BRAZI,MAR,3,0,0,0,0.0
Abdelkader EL KHYATI,MAR,3,0,0,0,0.0
Abdelkader HORR,ALG,3,0,0,0,0.0
Abdelkarim EL HADRIOUI,MAR,3,0,0,0,0.0
Abdelkarim KRIMAU,MAR,4,1,0,0,0.25
Abdellah BIDAR,MAR,4,0,0,0,0.0
Abdellah MEDJADI,ALG,3,0,0,0,0.0
Abdellah OURIAGHLI,MAR,3,0,0,0,0.0
Abdelmajid BOUREBBOU,ALG,3,0,0,0,0.0
Abdelmajid BOUYBOUD,MAR,3,0,1,0,0.0
Abdelmajid DOLMY,MAR,4,0,0,0,0.0
Abdelmajid LAMRISS,MAR,4,0,1,0,0.0
Abdelrazzak KHAIRI,MAR,4,2,1,0,0.5
Abdelslam LAGHRISSI,MAR,3,0,0,0,0.0
Abderrahim OUAKILI,MAR,3,0,0,0,0.0
Abderrhamane MAHJOUB,FRA,2,0,0,0,0.0
Abdulaziz AL ANBARI,KUW,3,0,1,0,0.0
Abdulaziz AL BALUSHI,KUW,3,1,0,0,0.333
Abdulaziz MOHAMMED,KUW,3,0,0,0,0.0
Abdullah AL DOSARI,KSA,4,0,1,0,0.0
Abdullah MAYUF,KUW,3,0,0,0,0.0
Abdullah SULTAN,UAE,3,0,0,0,0.0
Abdullah ZUBROMAWI,KSA,3,0,0,0,0.0
Abdulrahman AL HADDAD,UAE,3,0,0,0,0.0
Abel BALBO,ARG,12,0,0,0,0.0
Abiodun BARUWA,NGA,4,0,0,0,0.0
Achmad NAWIR,INH,1,0,0,0,0.0
Adalbert DESU,ROU,2,1,0,0,0.5
Adalbert PULLOCK,ROU,1,0,0,0,0.0
Adalbert STEINER,ROU,2,0,0,0,0.0
Adalbert ZAFIROV,BUL,3,0,0,0,0.0
Adam ADAM,KUW,3,0,0,0,0.0
Adam MUSIAL,POL,7,0,1,0,0.0
Adam NAWALKA,POL,6,0,0,0,0.0
Adam WOLANIN,USA,3,0,0,0,0.0
Adan GODOY,CHI,9,0,0,0,0.0
Adel ABDELRAHMAN,EGY,3,0,0,0,0.0
Adel EL SELLIMI,TUN,3,0,0,0,0.0
Adelmo VIVAS,COL,3,0,0,0,0.0
Adolf SCHERER,TCH,10,2,0,0,0.2
Adolf STELZER,SUI,3,0,0,0,0.0
Adolfino CANETE,PAR,4,0,0,0,0.0
Adolfo NEF,CHI,3,0,0,0,0.0
Adolfo ZEOLI,URU,4,0,0,0,0.0
Adolfo ZUMELZU,ARG,5,2,0,0,0.4
Adolphe HUG,SUI,3,0,0,0,0.0
Adri VAN KRAAY,NED,7,0,0,0,0.0
Adri VAN TIGGELEN,NED,4,0,0,0,0.0
Adriaan VAN MALE,NED,2,0,0,0,0.0
Adrian ALSTON,AUS,3,0,0,0,0.0
Adrian CHAVEZ,MEX,4,0,0,0,0.0
Adrian ELRICK,NZL,3,0,0,0,0.0
Adrian ILIE,ROU,4,1,1,0,0.25
Adrian KNUP,SUI,4,2,1,0,0.5
Adrian POPESCU,ROU,4,0,0,0,0.0
Agne SIMONSSON,SWE,6,4,0,0,0.667
Agrebi BEN REHAIEM,TUN,3,0,0,0,0.0
Agustin MIRANDA,PAR,3,0,0,0,0.0
Aharon SHURUK,ISR,3,0,0,0,0.0
Ahmed AL TARABULSI,KUW,3,0,0,0,0.0
Ahmed ALAOUI,MAR,3,0,0,0,0.0
Ahmed BAHJA,MAR,3,0,0,0,0.0
Ahmed EL KASS,EGY,3,0,0,0,0.0
Ahmed FARAS,MAR,3,0,0,0,0.0
Ahmed JASSIM,IRQ,3,0,0,0,0.0
Ahmed MASBAHI,MAR,3,0,0,0,0.0
Ahmed RADHI,IRQ,3,1,0,0,0.333
Ahmed RAMZY,EGY,3,0,1,0,0.0
Ahmed SHOBEIR,EGY,3,0,1,0,0.0
Ake ANDERSSON,SWE,3,0,0,0,0.0
Ake JOHANSSON,SWE,6,0,0,0,0.0
Akhrik TSVEIBA,URS,3,0,0,0,0.0
Akira NARAHASHI,JPN,3,0,0,0,0.0
Al HARKER,USA,1,0,0,0,0.0
Alaa MAYHOUB,EGY,3,0,0,0,0.0
Alain BOGHOSSIAN,FRA,7,0,0,0,0.0
Alain COURIOL,FRA,7,1,0,0,0.143
Alain EYOBO MAKONGO,CMR,3,0,0,0,0.0
Alain GEIGER,SUI,4,0,0,0,0.0
Alain GIRESSE,FRA,14,3,1,0,0.214
Alain SUTTER,SUI,4,1,0,0,0.25
Alan A COURT,ENG,4,0,0,0,0.0
Alan BALL,ENG,10,0,0,0,0.0
Alan BRAZIL,SCO,3,0,0,0,0.0
Alan HANSEN,SCO,3,0,0,0,0.0
Alan HODGKINSON,ENG,8,0,0,0,0.0
Alan KELLY JR.,IRL,4,0,0,0,0.0
Alan KERNAGHAN,IRL,4,0,0,0,0.0
Alan MULLERY,ENG,4,1,0,0,0.25
Alan McDONALD,NIR,3,0,0,0,0.0
Alan McINALLY,SCO,3,0,0,0,0.0
Alan McLOUGHLIN,IRL,9,0,0,0,0.0
Alan PEACOCK,ENG,4,0,0,0,0.0
Alan ROUGH,SCO,9,0,0,0,0.0
Alan SHEARER,ENG,4,1,1,0,0.25
Alberigo EVANI,ITA,7,0,0,0,0.0
Albert BRUELLS,FRG,10,1,0,0,0.1
Albert BUCHE,SUI,2,0,0,0,0.0
Albert GUINCHARD,SUI,5,0,0,0,0.0
Albert HEREMANS,BEL,1,0,0,0,0.0
Albert QUIXALL,ENG,3,0,0,0,0.0
Albert RUST,FRA,7,0,0,0,0.0
Albert SHESTERNYOV,URS,14,0,0,0,0.0
Alberto ACHA,BOL,1,0,0,0,0.0
Alberto BAEZA,MEX,3,0,0,0,0.0
Alberto CARDACCIO,URU,3,0,0,0,0.0
Alberto CHIVIDINI,ARG,5,0,0,0,0.0
Alberto DENEGRI,PER,2,0,0,0,0.0
Alberto FOUILLOUX,CHI,9,0,0,0,0.0
Alberto GALATEO,ARG,1,1,0,0,1.0
Alberto GALLARDO,PER,4,2,0,0,0.5
Alberto GARCIA ASPE,MEX,4,0,1,0,0.0
Alberto GOMEZ,URU,6,0,0,0,0.0
Alberto GONZALEZ,ARG,7,0,0,0,0.0
Alberto GONZALEZ,PAR,2,0,0,0,0.0
Alberto GORRIZ,ESP,4,1,0,0,0.25
Alberto MARIOTTI,ARG,3,0,0,0,0.0
Alberto QUINTANO,CHI,3,0,0,0,0.0
Alberto SAINZ,ARG,3,0,0,0,0.0
Alberto SORIA,PER,2,0,0,0,0.0
Alberto TARANTINI,ARG,12,1,0,0,0.083
Alberto VALENTINI,CHI,3,0,0,0,0.0
Alberto VILLALTA,SLV,3,0,0,0,0.0
Albin KITZINGER,GER,2,0,0,0,0.0
Alcides GHIGGIA,URU,4,4,0,0,1.0
Aldo CAMPATELLI,ITA,2,0,0,0,0.0
Aldo DONATI,ITA,4,0,0,0,0.0
Aldo DONELLI,USA,1,1,0,0,1.0
Aldo MALDERA,ITA,7,0,0,0,0.0
Aldo OLIVIERI,ITA,4,0,0,0,0.0
Aldo POY,ARG,6,0,0,0,0.0
Aldo SERENA,ITA,11,1,0,0,0.091
Alejandro DOMINGUEZ,MEX,5,0,0,0,0.0
Alejandro MANCUSO,ARG,4,0,0,0,0.0
Alejandro SCOPELLI,ARG,5,1,0,0,0.2
Alejandro VILLANUEVA,PER,2,0,0,0,0.0
Alekos ALEXANDRIS,GRE,3,0,0,0,0.0
Aleksandar ATANACKOVIC,YUG,3,0,0,0,0.0
Aleksandar IVOS,YUG,6,0,0,0,0.0
Aleksandar KOSTOV,BUL,6,0,0,0,0.0
Aleksandar MARKOV,BUL,4,0,1,0,0.0
Aleksandar PETAKOVIC,YUG,7,2,0,0,0.286
Aleksandar SHALAMANOV,BUL,6,0,0,0,0.0
Aleksandar TIRNANIC,YUG,3,1,0,0,0.333
Aleksandr BORODYUK,RUS,3,0,0,0,0.0
Aleksandr BORODYUK,URS,3,0,0,0,0.0
Aleksandr BUBNOV,URS,4,0,0,0,0.0
Aleksandr IVANOV,URS,5,1,0,0,0.2
Aleksandr MOSTOVOI,RUS,3,0,0,0,0.0
Aleksandr UVAROV,URS,3,0,0,0,0.0
Aleksandr ZAVAROV,URS,7,2,0,0,0.286
Aleksandre CHIVADZE,URS,9,1,1,0,0.111
Aleksei MAMYKIN,URS,4,1,0,0,0.25
Alen BOKSIC,YUG,5,0,0,0,0.0
Alessandro ALTOBELLI,ITA,11,4,0,0,0.364
Alessandro COSTACURTA,ITA,5,0,2,0,0.0
Alessandro DEL PIERO,ITA,5,0,1,0,0.0
Alessandro FRIGERIO,SUI,3,0,0,0,0.0
Alessandro NESTA,ITA,5,0,0,0,0.0
Alex CZERNIATYNSKI,BEL,9,1,0,0,0.111
Alex GRAAFLAND,NED,1,0,0,0,0.0
Alex McLEISH,SCO,9,0,0,0,0.0
Alex PARKER,SCO,3,0,0,0,0.0
Alex SCOTT,SCO,3,0,0,0,0.0
Alex STEPNEY,ENG,4,0,0,0,0.0
Alex THEPOT,FRA,4,0,0,0,0.0
Alex VILLAPLANE,FRA,3,0,0,0,0.0
Alex WILSON,SCO,2,0,0,0,0.0
Alexander HORVATH,TCH,3,0,1,0,0.0
Alexander VENCEL,TCH,3,0,0,0,0.0
Alexander WOOD,USA,3,0,0,0,0.0
Alexandre GUIMARAES,CRC,4,0,0,0,0.0
Alexandru CUEDAN,ROU,1,0,0,0,0.0
